DATE,DGS30
1977-03-01,7.79
1977-04-01,7.80
1977-05-01,7.74
1977-06-01,7.58
1977-07-01,7.72
1977-08-01,7.60
1977-09-01,7.68
1977-10-01,7.83
1977-11-01,7.83
1977-12-01,8.03
1978-01-01,8.18
1978-02-01,8.25
1978-03-01,8.33
1978-04-01,8.39
1978-05-01,8.50
1978-06-01,8.62
1978-07-01,8.56
1978-08-01,8.46
1978-09-01,8.61
1978-10-01,8.87
1978-11-01,8.80
1978-12-01,8.96
1979-01-01,8.85
1979-02-01,9.08
1979-03-01,9.02
1979-04-01,9.22
1979-05-01,9.08
1979-06-01,8.83
1979-07-01,8.99
1979-08-01,9.09
1979-09-01,9.25
1979-10-01,10.19
1979-11-01,10.09
1979-12-01,10.11
1980-01-01,11.09
1980-02-01,12.25
1980-03-01,12.31
1980-04-01,10.89
1980-05-01,10.37
1980-06-01,9.99
1980-07-01,10.80
1980-08-01,11.27
1980-09-01,11.70
1980-10-01,12.23
1980-11-01,12.32
1980-12-01,11.98
1981-01-01,12.28
1981-02-01,12.97
1981-03-01,12.65
1981-04-01,13.65
1981-05-01,13.06
1981-06-01,13.30
1981-07-01,13.96
1981-08-01,14.78
1981-09-01,15.19
1981-10-01,14.36
1981-11-01,12.91
1981-12-01,13.65
1982-01-01,13.91
1982-02-01,13.83
1982-03-01,13.68
1982-04-01,13.39
1982-05-01,13.39
1982-06-01,13.91
1982-07-01,13.42
1982-08-01,12.50
1982-09-01,11.79
1982-10-01,11.01
1982-11-01,10.70
1982-12-01,10.43
1983-01-01,10.99
1983-02-01,10.51
1983-03-01,10.69
1983-04-01,10.38
1983-05-01,10.97
1983-06-01,11.01
1983-07-01,11.80
1983-08-01,11.96
1983-09-01,11.44
1983-10-01,11.78
1983-11-01,11.67
1983-12-01,11.87
1984-01-01,11.78
1984-02-01,12.14
1984-03-01,12.52
1984-04-01,12.86
1984-05-01,13.84
1984-06-01,13.64
1984-07-01,12.87
1984-08-01,12.51
1984-09-01,12.28
1984-10-01,11.64
1984-11-01,11.58
1984-12-01,11.54
1985-01-01,11.21
1985-02-01,11.90
1985-03-01,11.64
1985-04-01,11.48
1985-05-01,10.58
1985-06-01,10.47
1985-07-01,10.70
1985-08-01,10.48
1985-09-01,10.57
1985-10-01,10.28
1985-11-01,9.86
1985-12-01,9.27
1986-01-01,9.34
1986-02-01,8.27
1986-03-01,7.44
1986-04-01,7.47
1986-05-01,7.74
1986-06-01,7.24
1986-07-01,7.46
1986-08-01,7.21
1986-09-01,7.60
1986-10-01,7.61
1986-11-01,7.41
1986-12-01,7.49
1987-01-01,7.48
1987-02-01,7.48
1987-03-01,7.81
1987-04-01,8.45
1987-05-01,8.65
1987-06-01,8.51
1987-07-01,8.89
1987-08-01,9.17
1987-09-01,9.79
1987-10-01,9.03
1987-11-01,9.10
1987-12-01,8.95
1988-01-01,8.42
1988-02-01,8.39
1988-03-01,8.82
1988-04-01,9.11
1988-05-01,9.30
1988-06-01,8.87
1988-07-01,9.23
1988-08-01,9.31
1988-09-01,8.98
1988-10-01,8.74
1988-11-01,9.07
1988-12-01,9.00
1989-01-01,8.84
1989-02-01,9.14
1989-03-01,9.11
1989-04-01,8.91
1989-05-01,8.60
1989-06-01,8.05
1989-07-01,7.92
1989-08-01,8.21
1989-09-01,8.24
1989-10-01,7.92
1989-11-01,7.90
1989-12-01,7.98
1990-01-01,8.46
1990-02-01,8.54
1990-03-01,8.63
1990-04-01,9.00
1990-05-01,8.58
1990-06-01,8.41
1990-07-01,8.42
1990-08-01,8.99
1990-09-01,8.96
1990-10-01,8.78
1990-11-01,8.40
1990-12-01,8.26
1991-01-01,8.21
1991-02-01,8.19
1991-03-01,8.24
1991-04-01,8.20
1991-05-01,8.26
1991-06-01,8.42
1991-07-01,8.36
1991-08-01,8.06
1991-09-01,7.82
1991-10-01,7.91
1991-11-01,7.94
1991-12-01,7.41
1992-01-01,7.77
1992-02-01,7.80
1992-03-01,7.96
1992-04-01,8.06
1992-05-01,7.84
1992-06-01,7.79
1992-07-01,7.46
1992-08-01,7.42
1992-09-01,7.38
1992-10-01,7.63
1992-11-01,7.59
1992-12-01,7.40
1993-01-01,7.21
1993-02-01,6.90
1993-03-01,6.93
1993-04-01,6.95
1993-05-01,6.98
1993-06-01,6.68
1993-07-01,6.57
1993-08-01,6.09
1993-09-01,6.04
1993-10-01,5.96
1993-11-01,6.29
1993-12-01,6.35
1994-01-01,6.23
1994-02-01,6.67
1994-03-01,7.11
1994-04-01,7.31
1994-05-01,7.44
1994-06-01,7.63
1994-07-01,7.39
1994-08-01,7.46
1994-09-01,7.82
1994-10-01,7.97
1994-11-01,7.99
1994-12-01,7.89
1995-01-01,7.71
1995-02-01,7.46
1995-03-01,7.44
1995-04-01,7.34
1995-05-01,6.67
1995-06-01,6.63
1995-07-01,6.86
1995-08-01,6.65
1995-09-01,6.49
1995-10-01,6.34
1995-11-01,6.14
1995-12-01,5.96
1996-01-01,6.03
1996-02-01,6.48
1996-03-01,6.67
1996-04-01,6.89
1996-05-01,7.00
1996-06-01,6.90
1996-07-01,6.98
1996-08-01,7.13
1996-09-01,6.93
1996-10-01,6.66
1996-11-01,6.36
1996-12-01,6.65
1997-01-01,6.80
1997-02-01,6.80
1997-03-01,7.10
1997-04-01,6.95
1997-05-01,6.92
1997-06-01,6.80
1997-07-01,6.30
1997-08-01,6.61
1997-09-01,6.41
1997-10-01,6.15
1997-11-01,6.04
1997-12-01,5.93
1998-01-01,5.82
1998-02-01,5.92
1998-03-01,5.94
1998-04-01,5.95
1998-05-01,5.81
1998-06-01,5.62
1998-07-01,5.72
1998-08-01,5.30
1998-09-01,4.98
1998-10-01,5.15
1998-11-01,5.08
1998-12-01,5.09
1999-01-01,5.09
1999-02-01,5.57
1999-03-01,5.63
1999-04-01,5.68
1999-05-01,5.84
1999-06-01,5.98
1999-07-01,6.11
1999-08-01,6.07
1999-09-01,6.06
1999-10-01,6.16
1999-11-01,6.29
1999-12-01,6.48
2000-01-01,6.49
2000-02-01,6.15
2000-03-01,5.84
2000-04-01,5.97
2000-05-01,6.02
2000-06-01,5.90
2000-07-01,5.79
2000-08-01,5.67
2000-09-01,5.88
2000-10-01,5.79
2000-11-01,5.60
2000-12-01,5.46
2001-01-01,5.54
2001-02-01,5.34
2001-03-01,5.46
2001-04-01,5.78
2001-05-01,5.78
2001-06-01,5.75
2001-07-01,5.51
2001-08-01,5.39
2001-09-01,5.42
2001-10-01,4.89
2001-11-01,5.27
2001-12-01,5.48
2002-01-01,5.44
2002-02-01,5.37
2006-02-01,4.51
2006-03-01,4.90
2006-04-01,5.17
2006-05-01,5.21
2006-06-01,5.19
2006-07-01,5.07
2006-08-01,4.88
2006-09-01,4.77
2006-10-01,4.72
2006-11-01,4.56
2006-12-01,4.81
2007-01-01,4.93
2007-02-01,4.68
2007-03-01,4.84
2007-04-01,4.81
2007-05-01,5.01
2007-06-01,5.12
2007-07-01,4.92
2007-08-01,4.83
2007-09-01,4.83
2007-10-01,4.74
2007-11-01,4.40
2007-12-01,4.45
2008-01-01,4.35
2008-02-01,4.41
2008-03-01,4.30
2008-04-01,4.49
2008-05-01,4.72
2008-06-01,4.53
2008-07-01,4.59
2008-08-01,4.43
2008-09-01,4.31
2008-10-01,4.35
2008-11-01,3.45
2008-12-01,2.69
2009-01-01,3.58
2009-02-01,3.71
2009-03-01,3.56
2009-04-01,4.05
2009-05-01,4.34
2009-06-01,4.32
2009-07-01,4.31
2009-08-01,4.18
2009-09-01,4.03
2009-10-01,4.23
2009-11-01,4.20
2009-12-01,4.63
2010-01-01,4.51
2010-02-01,4.55
2010-03-01,4.72
2010-04-01,4.53
2010-05-01,4.22
2010-06-01,3.91
2010-07-01,3.98
2010-08-01,3.52
2010-09-01,3.69
2010-10-01,3.99
2010-11-01,4.12
2010-12-01,4.34
2011-01-01,4.58
2011-02-01,4.49
2011-03-01,4.51
2011-04-01,4.40
2011-05-01,4.22
2011-06-01,4.38
2011-07-01,4.12
2011-08-01,3.60
2011-09-01,2.90
2011-10-01,3.16
2011-11-01,3.06
2011-12-01,2.89
2012-01-01,2.94
2012-02-01,3.08
2012-03-01,3.35
2012-04-01,3.12
2012-05-01,2.67
2012-06-01,2.76
2012-07-01,2.56
2012-08-01,2.68
2012-09-01,2.82
2012-10-01,2.85
2012-11-01,2.81
2012-12-01,2.95
2013-01-01,3.17
2013-02-01,3.10
2013-03-01,3.10
2013-04-01,2.88
2013-05-01,3.30
2013-06-01,3.52
2013-07-01,3.64
2013-08-01,3.70
2013-09-01,3.69
2013-10-01,3.63
2013-11-01,3.82
2013-12-01,3.96
2014-01-01,3.61
2014-02-01,3.59
2014-03-01,3.56
2014-04-01,3.47
2014-05-01,3.33
2014-06-01,3.34
2014-07-01,3.32
2014-08-01,3.09
2014-09-01,3.21
2014-10-01,3.07
2014-11-01,2.89
2014-12-01,2.75
2015-01-01,2.25
2015-02-01,2.60
2015-03-01,2.54
2015-04-01,2.75
2015-05-01,2.88
2015-06-01,3.11
2015-07-01,2.92
2015-08-01,2.95
2015-09-01,2.87
2015-10-01,2.93
2015-11-01,2.98
2015-12-01,3.01
2016-01-01,2.75
2016-02-01,2.61
2016-03-01,2.61
2016-04-01,2.66
2016-05-01,2.64
2016-06-01,2.30
2016-07-01,2.18
2016-08-01,2.23
2016-09-01,2.32
2016-10-01,2.58
2016-11-01,3.02
2016-12-01,3.06
2017-01-01,3.05
2017-02-01,2.97
2017-03-01,3.02
2017-04-01,2.96
2017-05-01,2.87
2017-06-01,2.84
2017-07-01,2.89
2017-08-01,2.73
2017-09-01,2.86
2017-10-01,2.88
2017-11-01,2.83
2017-12-01,2.74
2018-01-01,2.95
2018-02-01,3.13
2018-03-01,2.97
2018-04-01,3.11
2018-05-01,3.00
2018-06-01,2.98
2018-07-01,3.08
2018-08-01,3.02
2018-09-01,3.19
2018-10-01,3.39
2018-11-01,3.30
2018-12-01,3.02
2019-01-01,2.99
2019-02-01,3.09
2019-03-01,2.81
2019-04-01,.
